Twitter ID,User Name,Description,Screen Name,Location,Tweet Count,Followers,Following,Created On
471741741,PMOIndia,Office of the Prime Minister of India,PMO India ,India ,3560,5184271,159,2012-01-23 06:24:52
2833119062,IndiainPakistan,"High Commission of India, Islamabad","HCINDIA, Islamabad","Islambad, Pakistan",78,520,92,2014-09-26 16:53:08
17097223,nasscom,NASSCOM is the premier trade body and the chamber of commerce in India.,NASSCOM,"ÜT: 28.604934,77.198091",12481,29910,272,2008-11-01 05:32:32
46376581,ashrafghani,President of the Islamic Republic of Afghanistan. Personal tweets from Dr. Ashraf Ghani are signed - AG.,Ashraf Ghani,,2541,86839,12,2009-06-11 12:34:40
17850606,jayantsinha,"Union Minister of State for Finance. BJP MP from Hazaribagh, Jharkhand. Formerly a venture capitalist; passionate about India, technology, tennis and cricket.",Jayant Sinha,Hazaribagh,2177,32833,111,2008-12-03 22:03:04
2613904818,FinMinIndia,"Official Account of the Ministry of Finance, Government of India.",Ministry of Finance,New Delhi,363,19475,15,2014-07-09 17:30:14
